Census Tract,County,Number of Families,Number of Families in Poverty,Percentage of Families in Poverty
1.02,Glynn,895.00,27.00,3.0
1.01,Whitfield,1121.00,154.00,13.7
1.01,Hall,1207.00,177.00,14.7
1.01,Union,725.00,160.00,22.1
1,Fulton,1225.00,38.00,3.1
1.01,Glynn,402.00,15.00,3.7
1,Habersham,967.00,72.00,7.5
1,Floyd,1175.00,151.00,12.9
1,Elbert,885.00,142.00,16.1
1,Richmond,833.00,153.00,18.4
1,Dougherty,1038.00,240.00,23.1
1,Macon,468.00,147.00,31.4
1,Clarke,37.00,21.00,56.8
1,Chatham,262.00,253.00,96.6
100.01,Fulton,964.00,4.00,0.4
100.02,Fulton,1737.00,6.00,0.4
10.01,Fulton,170.00,5.00,2.9
1009.01,Newton,2631.00,123.00,4.7
1002.02,Newton,1471.00,83.00,5.6
10,Glynn,2883.00,175.00,6.1
101,Camden,833.00,61.00,7.3
1002.01,Newton,1676.00,136.00,8.1
10.02,Hall,1802.00,152.00,8.4
1.02,Hall,967.00,85.00,8.8
1005.01,Newton,3534.00,320.00,9.1
1.02,Union,1680.00,155.00,9.2
1008,Newton,2442.00,245.00,10.0
10,Richmond,398.00,42.00,10.6
1.02,Whitfield,2394.00,256.00,10.7
1001,Newton,2674.00,309.00,11.6
10,Muscogee,995.00,133.00,13.4
101,Charlton,1892.00,263.00,13.9
1009.02,Newton,1440.00,206.00,14.3
101,Chattooga,629.00,93.00,14.8
1009.03,Newton,1380.00,209.00,15.1
1006,Newton,1427.00,233.00,16.3
1005.02,Newton,2064.00,356.00,17.3
1003,Newton,2232.00,409.00,18.3
10,Whitfield,912.00,173.00,19.0
1004,Newton,614.00,125.00,20.4
10.02,Fulton,41.00,9.00,22.0
10.04,Hall,738.00,174.00,23.6
10,Dougherty,407.00,149.00,36.6
1007,Newton,1419.00,529.00,37.3
10.03,Hall,1363.00,510.00,37.4
101,Bibb,270.00,162.00,60.0
103.02,Lowndes,689.00,0.00,0.0
102.06,Fulton,1577.00,14.00,0.9
104.01,Dougherty,2051.00,18.00,0.9
102.01,Richmond,1099.00,11.00,1.0
101.06,Richmond,843.00,12.00,1.4
104.01,Lowndes,366.00,6.00,1.6
102.05,Fulton,1296.00,33.00,2.6
102.02,Lowndes,3135.00,86.00,2.7
101,Upson,741.00,21.00,2.8
105.14,Fulton,2849.00,82.00,2.9
102.04,Fulton,1497.00,48.00,3.2
101.01,Richmond,733.00,24.00,3.3
101.07,Muscogee,2437.00,85.00,3.5
102.01,Muscogee,1807.00,64.00,3.5
102.10,Fulton,1676.00,59.00,3.5
102.11,Fulton,780.00,27.00,3.5
103.04,Fulton,3256.00,114.00,3.5
103.01,Muscogee,704.00,26.00,3.7
107,Chatham,5525.00,203.00,3.7
104.02,Camden,1575.00,63.00,4.0
101.02,Jackson,1756.00,80.00,4.6
104.01,Muscogee,1935.00,92.00,4.8
103.01,Lowndes,1385.00,68.00,4.9
101.04,Muscogee,1869.00,96.00,5.1
102.09,Fulton,1110.00,56.00,5.1
102.04,Muscogee,1842.00,97.00,5.3
103.03,Fulton,2082.00,118.00,5.7
101,Morgan,801.00,48.00,6.0
102,Pike,944.00,57.00,6.0
102.08,Liberty,1469.00,88.00,6.0
104.03,Camden,1218.00,73.00,6.0
103,Pike,1011.00,66.00,6.5
107.01,Jackson,524.00,34.00,6.5
107.03,Jackson,880.00,57.00,6.5
101.01,Jackson,1442.00,99.00,6.9
102.08,Fulton,918.00,63.00,6.9
104.02,Muscogee,1017.00,70.00,6.9
103.01,Wilkes,569.00,40.00,7.0
101.03,Jackson,1400.00,100.00,7.1
103.01,Fulton,3605.00,256.00,7.1
102.05,Muscogee,880.00,67.00,7.6
103,Murray,1031.00,79.00,7.7
105,Dougherty,557.00,43.00,7.7
101.04,Richmond,850.00,66.00,7.8
105.01,Liberty,909.00,71.00,7.8
104,Morgan,827.00,65.00,7.9
106,Upson,286.00,23.00,8.0
101.03,Lowndes,929.00,75.00,8.1
107.02,Jackson,2720.00,223.00,8.2
102.04,Richmond,3066.00,257.00,8.4
101,Pike,1813.00,154.00,8.5
101,Polk,1603.00,138.00,8.6
105,Morgan,425.00,38.00,8.9
105,Polk,1502.00,133.00,8.9
103.02,Muscogee,1724.00,157.00,9.1
106.03,Chatham,364.00,33.00,9.1
106.04,Lowndes,1368.00,125.00,9.1
102.01,Lowndes,645.00,59.00,9.2
105.11,Fulton,1639.00,155.00,9.5
102.03,Muscogee,2440.00,234.00,9.6
101.03,Liberty,458.00,45.00,9.8
102,Bibb,406.00,40.00,9.9
105.01,Muscogee,1745.00,172.00,9.9
104,Upson,1303.00,131.00,10.1
103,Liberty,1734.00,178.00,10.3
104,Liberty,1844.00,189.00,10.3
106.02,Camden,310.00,32.00,10.3
104.01,Camden,3027.00,315.00,10.4
105.15,Fulton,1085.00,118.00,10.9
106,Coffee,1446.00,158.00,10.9
101.06,Muscogee,1351.00,154.00,11.4
105,Murray,1420.00,163.00,11.5
102.03,Richmond,1022.00,119.00,11.6
103,Upson,888.00,104.00,11.7
101.02,Chatham,828.00,99.00,12.0
101,Glascock,747.00,90.00,12.1
103.02,Camden,1216.00,147.00,12.1
107,Lowndes,936.00,115.00,12.3
103,Chattooga,821.00,104.00,12.7
102,Morgan,1098.00,142.00,12.9
102,Polk,1945.00,251.00,12.9
104,Murray,1676.00,220.00,13.1
102,Camden,1483.00,196.00,13.2
101.05,Richmond,1102.00,147.00,13.3
102.02,Upson,776.00,103.00,13.3
102,Charlton,754.00,101.00,13.4
102,Jasper,771.00,104.00,13.5
101.06,Fulton,1092.00,59.00,13.8
102,Haralson,1813.00,250.00,13.8
105,Crisp,414.00,57.00,13.8
105,Jasper,2366.00,326.00,13.8
107.01,Muscogee,1332.00,186.00,14.0
106.02,Muscogee,1132.00,160.00,14.1
103.01,Camden,2297.00,325.00,14.2
106,Polk,1257.00,180.00,14.3
103,Morgan,1962.00,283.00,14.4
105.02,Muscogee,337.00,49.00,14.5
106,Jackson,2334.00,340.00,14.6
104,Richmond,950.00,507.00,14.7
105,Jackson,1261.00,185.00,14.7
102.02,Murray,2346.00,349.00,14.9
102.07,Liberty,1414.00,213.00,15.1
104.02,Lowndes,1683.00,257.00,15.3
104.03,Dougherty,449.00,69.00,15.4
105.10,Fulton,2983.00,458.00,15.4
105.02,Liberty,1210.00,188.00,15.5
104,Fulton,1991.00,310.00,15.6
102,Jackson,1195.00,192.00,16.1
101.07,Richmond,532.00,87.00,16.4
105,Chattooga,1206.00,199.00,16.5
106.08,Muscogee,1129.00,186.00,16.5
102.02,Liberty,1076.00,179.00,16.6
102.12,Fulton,1184.00,197.00,16.6
103.02,Haralson,2016.00,334.00,16.6
104,Jackson,1323.00,219.00,16.6
104,Pike,912.00,153.00,16.8
101.01,Wilkes,401.00,68.00,17.0
101.01,Lowndes,1061.00,181.00,17.1
101.02,Liberty,228.00,39.00,17.1
102,Coffee,844.00,144.00,17.1
102.05,Liberty,1850.00,317.00,17.1
101.02,Lowndes,1218.00,209.00,17.2
101.01,Liberty,1611.00,278.00,17.3
104,Chattooga,1405.00,244.00,17.4
101,Coffee,757.00,133.00,17.6
107.02,Muscogee,1110.00,195.00,17.6
101,Murray,952.00,169.00,17.8
104,Haralson,2084.00,370.00,17.8
104.02,Dougherty,948.00,169.00,17.8
102,Chattooga,1581.00,283.00,17.9
106,Chattooga,658.00,118.00,17.9
107,Coffee,1523.00,275.00,18.1
107,Murray,1403.00,261.00,18.6
102,Taliaferro,431.00,82.00,19.0
103,Jackson,1173.00,224.00,19.1
103,Coffee,735.00,142.00,19.3
105.13,Fulton,3096.00,602.00,19.4
106.07,Muscogee,1488.00,289.00,19.4
101,Haralson,1010.00,197.00,19.5
104,Coffee,1090.00,212.00,19.5
102.01,Murray,477.00,94.00,19.7
102.06,Liberty,1265.00,255.00,20.2
103,Polk,1253.00,253.00,20.2
106.05,Muscogee,1036.00,211.00,20.4
105.08,Fulton,748.00,154.00,20.6
102.04,Liberty,824.00,174.00,21.1
104,Polk,1362.00,290.00,21.3
105,Coffee,829.00,177.00,21.4
106.01,Camden,1655.00,359.00,21.7
102,Chatham,1105.00,243.00,22.0
105.16,Fulton,1860.00,409.00,22.0
101,Jasper,573.00,128.00,22.3
103.02,Wilkes,1104.00,246.00,22.3
107.03,Muscogee,1407.00,315.00,22.4
106.01,Lowndes,1277.00,297.00,23.3
103,Crisp,965.00,228.00,23.6
106.01,Chatham,866.00,207.00,23.9
106,Murray,1096.00,267.00,24.4
103.01,Haralson,1116.00,279.00,25.0
105,Camden,444.00,115.00,25.9
105.02,Chatham,958.00,254.00,26.5
102.01,Crisp,1461.00,390.00,26.7
104,Crisp,1476.00,398.00,27.0
105.07,Fulton,1511.00,411.00,27.2
106.04,Fulton,581.00,158.00,27.2
105.12,Fulton,1308.00,359.00,27.5
106.01,Fulton,654.00,180.00,27.5
106.02,Dougherty,937.00,259.00,27.6
105,Upson,1181.00,327.00,27.7
101.02,Wilkes,421.00,127.00,30.2
106,Liberty,466.00,141.00,30.3
103,Bibb,180.00,56.00,31.1
107,Polk,1493.00,473.00,31.7
103,Richmond,917.00,294.00,32.1
101.01,Chatham,281.00,91.00,32.4
102.01,Upson,1241.00,402.00,32.4
102.02,Crisp,786.00,262.00,33.3
101,Crisp,1037.00,358.00,34.5
105,Lowndes,909.00,316.00,34.8
106.03,Fulton,785.00,320.00,40.8
106.01,Dougherty,532.00,218.00,41.0
103.02,Dougherty,1203.00,568.00,47.2
105.01,Chatham,1105.00,579.00,52.4
104,Bibb,451.00,237.00,52.6
107,Dougherty,1002.00,539.00,53.8
105,Bibb,383.00,328.00,85.6
106.05,Chatham,0.00,0.00,n/a
110,Richmond,94.00,0.00,0.0
111,Fulton,416.00,0.00,0.0
115.05,Fulton,1258.00,0.00,0.0
1305.07,Forsyth,684.00,0.00,0.0
1305.09,Forsyth,1023.00,0.00,0.0
15,Fulton,542.00,0.00,0.0
2,Fulton,1267.00,0.00,0.0
216.03,DeKalb,787.00,0.00,0.0
116.24,Fulton,1156.00,6.00,0.5
1305.08,Forsyth,1474.00,7.00,0.5
1403.07,Fayette,1433.00,7.00,0.5
1704.05,Coweta,2118.00,10.00,0.5
1306.04,Forsyth,1333.00,9.00,0.7
114.10,Fulton,1915.00,15.00,0.8
114.18,Fulton,1710.00,14.00,0.8
1704.03,Coweta,1350.00,11.00,0.8
217.06,DeKalb,1433.00,12.00,0.8
224.03,DeKalb,1069.00,9.00,0.8
1303.04,Forsyth,1121.00,10.00,0.9
110.05,Chatham,1576.00,15.00,1.0
114.24,Fulton,1480.00,14.00,1.0
2,Glynn,1348.00,14.00,1.0
2.03,Hall,1164.00,12.00,1.0
230,DeKalb,484.00,5.00,1.0
111.07,Chatham,922.00,10.00,1.1
116.15,Fulton,2703.00,29.00,1.1
212.10,DeKalb,1666.00,18.00,1.1
111.09,Chatham,1919.00,22.00,1.2
1306.05,Forsyth,1179.00,14.00,1.2
211.01,DeKalb,1033.00,12.00,1.2
1204.01,Harris,1766.00,22.00,1.3
121.02,Bibb,1224.00,16.00,1.3
116.17,Fulton,1934.00,27.00,1.4
1302.02,Forsyth,1152.00,16.00,1.4
1306.12,Forsyth,1800.00,25.00,1.4
212.11,DeKalb,1322.00,18.00,1.4
136.06,Bibb,1759.00,27.00,1.5
1404.03,Fayette,1418.00,21.00,1.5
212.02,DeKalb,1880.00,29.00,1.5
212.14,DeKalb,1663.00,25.00,1.5
114.14,Fulton,1930.00,30.00,1.6
134.08,Bibb,1197.00,19.00,1.6
1402.07,Fayette,1634.00,28.00,1.7
1803.01,Barrow,576.00,10.00,1.7
115.04,Fulton,3517.00,64.00,1.8
1303.02,Forsyth,1441.00,26.00,1.8
120,Bibb,1146.00,22.00,1.9
1306.06,Forsyth,1281.00,24.00,1.9
1706.02,Coweta,2559.00,51.00,2.0
226,DeKalb,1324.00,27.00,2.0
114.27,Fulton,2100.00,45.00,2.1
1303.05,Forsyth,1587.00,35.00,2.2
1306.07,Forsyth,1504.00,33.00,2.2
1306.13,Forsyth,929.00,20.00,2.2
216.04,DeKalb,837.00,18.00,2.2
1201.01,Paulding,3428.00,80.00,2.3
1402.03,Fayette,1558.00,35.00,2.3
238.01,DeKalb,792.00,18.00,2.3
114.25,Fulton,1968.00,48.00,2.4
12.01,Fulton,578.00,14.00,2.4
1306.10,Forsyth,1359.00,32.00,2.4
214.12,DeKalb,847.00,20.00,2.4
115.06,Fulton,1682.00,42.00,2.5
1301.04,Forsyth,1267.00,31.00,2.5
134.09,Bibb,1046.00,26.00,2.5
114.12,Fulton,2259.00,59.00,2.6
