Census Tract,Total Families,Families in Poverty,Percent Families in Poverty
1,Chatham,262.00,253.00,96.60
1,Clarke,37.00,21.00,56.80
1,Dougherty,1038.00,240.00,23.10
1,Elbert,885.00,142.00,16.10
1,Floyd,1175.00,151.00,12.90
1,Fulton,1225.00,38.00,3.10
1,Habersham,967.00,72.00,7.50
1,Macon,468.00,147.00,31.40
1,Richmond,833.00,153.00,18.40
1.01,Glynn,402.00,15.00,3.70
1.01,Hall,1207.00,177.00,14.70
1.01,Union,725.00,160.00,22.10
1.01,Whitfield,1121.00,154.00,13.70
1.02,Glynn,895.00,27.00,3.00
1.02,Hall,967.00,85.00,8.80
1.02,Union,1680.00,155.00,9.20
1.02,Whitfield,2394.00,256.00,10.70
10,Dougherty,407.00,149.00,36.60
10,Glynn,2883.00,175.00,6.10
10,Muscogee,995.00,133.00,13.40
10,Richmond,398.00,42.00,10.60
10,Whitfield,912.00,173.00,19.00
10.01,Fulton,170.00,5.00,2.90
10.02,Fulton,41.00,9.00,22.00
10.02,Hall,1802.00,152.00,8.40
10.03,Hall,1363.00,510.00,37.40
10.04,Hall,738.00,174.00,23.60
100.01,Fulton,964.00,4.00,0.40
100.02,Fulton,1737.00,6.00,0.40
1001,Newton,2674.00,309.00,11.60
1002.01,Newton,1676.00,136.00,8.10
1002.02,Newton,1471.00,83.00,5.60
1003,Newton,2232.00,409.00,18.30
1004,Newton,614.00,125.00,20.40
1005.01,Newton,3534.00,320.00,9.10
1005.02,Newton,2064.00,356.00,17.30
1006,Newton,1427.00,233.00,16.30
1007,Newton,1419.00,529.00,37.30
1008,Newton,2442.00,245.00,10.00
1009.01,Newton,2631.00,123.00,4.70
1009.02,Newton,1440.00,206.00,14.30
1009.03,Newton,1380.00,209.00,15.10
101,Bibb,270.00,162.00,60.00
101,Camden,833.00,61.00,7.30
101,Charlton,1892.00,263.00,13.90
101,Chattooga,629.00,93.00,14.80
101,Coffee,757.00,133.00,17.60
101,Crisp,1037.00,358.00,34.50
101,Glascock,747.00,90.00,12.10
101,Haralson,1010.00,197.00,19.50
101,Jasper,573.00,128.00,22.30
101,Morgan,801.00,48.00,6.00
101,Murray,952.00,169.00,17.80
101,Pike,1813.00,154.00,8.50
101,Polk,1603.00,138.00,8.60
101,Upson,741.00,21.00,2.80
101.01,Chatham,281.00,91.00,32.40
101.01,Jackson,1442.00,99.00,6.90
101.01,Liberty,1611.00,278.00,17.30
101.01,Lowndes,1061.00,181.00,17.10
101.01,Richmond,733.00,24.00,3.30
101.01,Wilkes,401.00,68.00,17.00
101.02,Chatham,828.00,99.00,12.00
101.02,Jackson,1756.00,80.00,4.60
101.02,Liberty,228.00,39.00,17.10
101.02,Lowndes,1218.00,209.00,17.20
101.02,Wilkes,421.00,127.00,30.20
101.03,Jackson,1400.00,100.00,7.10
101.03,Liberty,458.00,45.00,9.80
101.03,Lowndes,929.00,75.00,8.10
101.04,Muscogee,1869.00,96.00,5.10
101.04,Richmond,850.00,66.00,7.80
101.05,Richmond,1102.00,147.00,13.30
101.06,Fulton,1092.00,59.00,5.40
101.06,Muscogee,1351.00,154.00,11.40
101.06,Richmond,843.00,12.00,1.40
101.07,Fulton,615.00,10.00,1.60
101.07,Muscogee,2437.00,85.00,3.50
101.07,Richmond,532.00,87.00,16.40
101.08,Fulton,1061.00,20.00,1.90
101.10,Fulton,1330.00,99.00,7.40
101.13,Fulton,1178.00,231.00,19.60
101.14,Fulton,1420.00,126.00,8.90
101.15,Fulton,643.00,9.00,1.40
101.17,Fulton,587.00,17.00,2.90
101.18,Fulton,1106.00,279.00,25.20
101.19,Fulton,884.00,306.00,34.60
101.20,Fulton,452.00,25.00,5.50
101.21,Fulton,500.00,25.00,5.00
101.22,Fulton,1660.00,54.00,3.30
101.23,Fulton,1050.00,145.00,13.80
102,Bibb,406.00,40.00,9.90
102,Camden,1483.00,196.00,13.20
102,Charlton,754.00,101.00,13.40
102,Chatham,1105.00,243.00,22.00
102,Chattooga,1581.00,283.00,17.90
102,Coffee,844.00,144.00,17.10
102,Haralson,1813.00,250.00,13.80
102,Jackson,1195.00,192.00,16.10
102,Jasper,771.00,104.00,13.50
102,Morgan,1098.00,142.00,12.90
102,Pike,944.00,57.00,6.00
102,Polk,1945.00,251.00,12.90
102,Taliaferro,431.00,82.00,19.00
102.01,Crisp,1461.00,390.00,26.70
102.01,Lowndes,645.00,59.00,9.20
102.01,Murray,477.00,94.00,19.70
102.01,Muscogee,1807.00,64.00,3.50
102.01,Richmond,1099.00,11.00,1.00
102.01,Upson,1241.00,402.00,32.40
102.02,Crisp,786.00,262.00,33.30
102.02,Liberty,1076.00,179.00,16.60
102.02,Lowndes,3135.00,86.00,2.70
102.02,Murray,2346.00,349.00,14.90
102.02,Upson,776.00,103.00,13.30
102.03,Muscogee,2440.00,234.00,9.60
102.03,Richmond,1022.00,119.00,11.60
102.04,Fulton,1497.00,48.00,3.20
102.04,Liberty,824.00,174.00,21.10
102.04,Muscogee,1842.00,97.00,5.30
102.04,Richmond,3066.00,257.00,8.40
102.05,Fulton,1296.00,33.00,2.60
102.05,Liberty,1850.00,317.00,17.10
102.05,Muscogee,880.00,67.00,7.60
102.06,Fulton,1577.00,14.00,0.90
102.06,Liberty,1265.00,255.00,20.20
102.07,Liberty,1414.00,213.00,15.10
102.08,Fulton,918.00,63.00,6.90
102.08,Liberty,1469.00,88.00,6.00
102.09,Fulton,1110.00,56.00,5.10
102.10,Fulton,1676.00,59.00,3.50
102.11,Fulton,780.00,27.00,3.50
102.12,Fulton,1184.00,197.00,16.60
103,Bibb,180.00,56.00,31.10
103,Chattooga,821.00,104.00,12.70
103,Coffee,735.00,142.00,19.30
103,Crisp,965.00,228.00,23.60
103,Jackson,1173.00,224.00,19.10
103,Liberty,1734.00,178.00,10.30
103,Morgan,1962.00,283.00,14.40
103,Murray,1031.00,79.00,7.70
103,Pike,1011.00,66.00,6.50
103,Polk,1253.00,253.00,20.20
103,Richmond,917.00,294.00,32.10
103,Upson,888.00,104.00,11.70
103.01,Camden,2297.00,325.00,14.20
103.01,Fulton,3605.00,256.00,7.10
103.01,Haralson,1116.00,279.00,25.00
103.01,Lowndes,1385.00,68.00,4.90
103.01,Muscogee,704.00,26.00,3.70
103.01,Wilkes,569.00,40.00,7.00
103.02,Camden,1216.00,147.00,12.10
103.02,Dougherty,1203.00,568.00,47.20
103.02,Haralson,2016.00,334.00,16.60
103.02,Lowndes,689.00,0.00,0.00
103.02,Muscogee,1724.00,157.00,9.10
103.02,Wilkes,1104.00,246.00,22.30
103.03,Fulton,2082.00,118.00,5.70
103.04,Fulton,3256.00,114.00,3.50
104,Bibb,451.00,237.00,52.60
104,Chattooga,1405.00,244.00,17.40
